"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model","l2_coef","l2der_coef"
"PageHinkley","3.359554","9",10,"feature_4","tree",5,5
"PDD_C","3.283912","0",10,"feature_4","tree",5,5
"PDD_1","3.283912","0",10,"feature_4","tree",5,5
"PDD_2","3.283912","0",10,"feature_4;feature_2","tree",5,5
"PDD_3","3.283912","0",10,"feature_4;feature_2;feature_1","tree",5,5
"Base Test","3.025395","0",10,"feature_4","tree",5,5
"Base Train","2.984331","0",10,"feature_4","tree",5,5
"batch sizes","5332","1334",10,"feature_4","tree",5,5
"KSWIN","1.928242","20",20,"feature_4","rf",5,5
"PageHinkley","2.06544","5",20,"feature_4","rf",5,5
"PDD_C","2.098068","0",20,"feature_4","rf",5,5
"PDD_1","2.098068","0",20,"feature_4","rf",5,5
"PDD_2","2.098068","0",20,"feature_4;feature_2","rf",5,5
"PDD_3","2.098068","0",20,"feature_4;feature_2;feature_1","rf",5,5
"Base Test","1.807443","0",20,"feature_4","rf",5,5
"Base Train","0.7709039","0",20,"feature_4","rf",5,5
"batch sizes","3200","800",20,"feature_4","rf",5,5
"KSWIN","2.800709","19",20,"feature_4","linear",5,5
"PageHinkley","2.79739","10",20,"feature_4","linear",5,5
"PDD_C","2.807288","1",20,"feature_4","linear",5,5
"PDD_1","2.809186","1",20,"feature_4","linear",5,5
"PDD_2","2.809186","1",20,"feature_4;feature_2","linear",5,5
"PDD_3","2.809186","1",20,"feature_4;feature_2;feature_1","linear",5,5
"Base Test","2.559085","0",20,"feature_4","linear",5,5
"Base Train","2.557912","0",20,"feature_4","linear",5,5
"batch sizes","3200","800",20,"feature_4","linear",5,5
"KSWIN","3.276538","19",20,"feature_4","tree",5,5
"PageHinkley","3.281308","16",20,"feature_4","tree",5,5
"PDD_C","3.238696","0",20,"feature_4","tree",5,5
"PDD_1","3.238696","0",20,"feature_4","tree",5,5
"PDD_2","3.238696","0",20,"feature_4;feature_1","tree",5,5
"PDD_3","3.238696","0",20,"feature_4;feature_1;feature_2","tree",5,5
"Base Test","3.157366","0",20,"feature_4","tree",5,5
"Base Train","2.920401","0",20,"feature_4","tree",5,5
"batch sizes","3200","800",20,"feature_4","tree",5,5
"KSWIN","1.924375","25",30,"feature_4","rf",5,5
"PageHinkley","2.013893","7",30,"feature_4","rf",5,5
"PDD_C","2.093629","0",30,"feature_4","rf",5,5
"PDD_1","2.093629","0",30,"feature_4","rf",5,5
"PDD_2","2.093629","0",30,"feature_4;feature_1","rf",5,5
"PDD_3","2.093629","0",30,"feature_4;feature_1;feature_2","rf",5,5
"Base Test","1.766121","0",30,"feature_4","rf",5,5
"Base Train","0.7949281","0",30,"feature_4","rf",5,5
"batch sizes","2285","572",30,"feature_4","rf",5,5
"KSWIN","2.783512","30",30,"feature_4","linear",5,5
"PageHinkley","2.775494","9",30,"feature_4","linear",5,5
"PDD_C","2.799552","0",30,"feature_4","linear",5,5
"PDD_1","2.799552","0",30,"feature_4","linear",5,5
"PDD_2","2.792353","2",30,"feature_4;feature_2","linear",5,5
"PDD_3","2.784035","11",30,"feature_4;feature_2;feature_1","linear",5,5
"Base Test","2.595838","0",30,"feature_4","linear",5,5
"Base Train","2.546311","0",30,"feature_4","linear",5,5
"batch sizes","2285","572",30,"feature_4","linear",5,5
"KSWIN","3.287508","23",30,"feature_4","tree",5,5
"PageHinkley","3.271003","16",30,"feature_4","tree",5,5
"PDD_C","3.244327","0",30,"feature_4","tree",5,5
"PDD_1","3.244327","0",30,"feature_4","tree",5,5
"PDD_2","3.244327","0",30,"feature_4;feature_2","tree",5,5
"PDD_3","3.244327","0",30,"feature_4;feature_2;feature_1","tree",5,5
"Base Test","3.040048","0",30,"feature_4","tree",5,5
"Base Train","2.974407","0",30,"feature_4","tree",5,5
"batch sizes","2285","572",30,"feature_4","tree",5,5
