"model","Batch","top_k","l2_coef","l2der_coef","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"linear",30,2,1,1,9,11,"feature_4;feature_2","feature_4",2.41547940538603
"linear",30,2,1,1,10,12,"feature_4;feature_2","feature_4",2.71548929374275
"linear",30,2,1,1,11,13,"feature_4;feature_2","feature_4;feature_2",2.63617035586924
"linear",30,2,1,1,12,14,"feature_4;feature_2","feature_4;feature_2",2.67906919882293
"linear",30,2,1,1,13,15,"feature_4;feature_2","feature_4;feature_2",2.80089149995271
"linear",30,2,1,1,14,16,"feature_4;feature_2","feature_4;feature_2",2.4852407631808
"linear",30,2,1,1,15,17,"feature_4;feature_2","feature_2",2.86396748168359
"linear",30,2,1,1,16,18,"feature_4;feature_2","feature_2",2.65750710053007
"linear",30,2,1,1,17,19,"feature_4;feature_2","feature_4;feature_2",2.60864313591618
"linear",30,2,1,1,18,20,"feature_4;feature_2","feature_2",2.51925733231943
"linear",30,2,1,1,19,21,"feature_4;feature_2","feature_4",2.57504329734926
"linear",30,2,1,1,20,22,"feature_4;feature_2","feature_2",2.50602893057552
"linear",30,2,1,1,21,23,"feature_4;feature_2","feature_4;feature_2",2.66131886214137
"linear",30,2,1,1,22,24,"feature_4;feature_2","feature_4;feature_2",2.52975031178675
"linear",30,2,1,1,23,25,"feature_4;feature_2","feature_4",2.53838049523134
"linear",30,2,1,1,24,26,"feature_4;feature_2","feature_4;feature_2",3.37314852244074
"linear",30,2,1,1,25,28,"feature_4;feature_1","feature_4;feature_2",4.52218873944948
"linear",30,2,1,1,26,29,"feature_4;feature_1","feature_4;feature_1",3.02803329264046
"linear",30,2,1,1,27,30,"feature_4;feature_1","feature_4;feature_1",2.57370075689966
"linear",30,3,1,1,0,0,"feature_4;feature_2;feature_1",NA,2.59583828972965
"linear",30,3,1,1,1,1,"feature_4;feature_2;feature_1","feature_2;feature_1",2.55589560555109
"linear",30,3,1,1,2,2,"feature_4;feature_2;feature_1","feature_2;feature_1",2.57842836791631
